valid_time,latitude,longitude,t2m,number,sp,tp
2024-01-09,49.5,2.0,270.6073,0,100881.76,5.364418e-06
2024-01-09,49.5,2.25,270.73767,0,101228.01,4.7683716e-06
2024-01-09,49.5,2.5,270.85583,0,101467.26,4.053116e-06
2024-01-09,49.25,1.5,270.94128,0,101343.51,1.513958e-05
2024-01-09,49.25,1.75,270.84412,0,101233.76,1.3113022e-05
2024-01-09,49.25,2.0,270.9276,0,101253.26,1.180172e-05
2024-01-09,49.25,2.25,271.0072,0,101368.01,1.0967255e-05
2024-01-09,49.25,2.5,271.1151,0,101520.51,1.04904175e-05
2024-01-09,49.0,1.5,270.724,0,101260.26,3.015995e-05
2024-01-09,49.0,1.75,270.90125,0,101308.76,2.336502e-05
2024-01-09,49.0,2.0,271.0526,0,101399.01,2.0861626e-05
2024-01-09,49.0,2.25,271.1532,0,101546.76,1.847744e-05
2024-01-09,49.0,2.5,271.16248,0,101649.51,1.8119812e-05
2024-01-09,48.75,1.5,270.20007,0,100818.01,6.055832e-05
2024-01-09,48.75,1.75,270.55115,0,100908.26,4.8279762e-05
2024-01-09,48.75,2.0,270.67615,0,100997.51,3.85046e-05
2024-01-09,48.75,2.25,270.911,0,101289.26,3.2305717e-05
2024-01-09,48.75,2.5,271.06482,0,101431.01,2.7179718e-05
2024-01-09,48.5,1.5,269.93347,0,100498.01,6.687641e-05
2024-01-09,48.5,1.75,270.28455,0,100688.01,5.877018e-05
2024-01-09,48.5,2.0,270.56287,0,100911.26,5.3167343e-05
2024-01-09,48.5,2.25,270.79138,0,101181.76,4.87566e-05
2024-01-09,48.5,2.5,270.9613,0,101354.01,4.386902e-05
2024-01-09,48.25,1.5,270.24597,0,100684.01,2.670288e-05
2024-01-09,48.25,1.75,270.412,0,100846.51,2.527237e-05
2024-01-09,48.25,2.0,270.63074,0,100964.76,2.2411346e-05
2024-01-09,48.25,2.25,270.82654,0,101094.51,2.0861626e-05
2024-01-09,48.25,2.5,270.96472,0,101152.01,2.0742416e-05
2024-01-09,48.0,1.5,270.765,0,100904.76,9.536743e-06
2024-01-09,48.0,1.75,270.91638,0,101047.01,8.46386e-06
2024-01-09,48.0,2.0,270.98425,0,100947.26,8.702278e-06
2024-01-09,48.0,2.25,271.11365,0,101032.76,8.106232e-06
2024-01-09,48.0,2.5,271.24597,0,101092.76,8.106232e-06
2024-01-10,49.5,1.5,270.54498,0,100716.414,3.5762787e-07
2024-01-10,49.5,1.75,270.461,0,100603.414,2.3841858e-07
2024-01-10,49.5,2.0,270.5479,0,100814.664,4.7683716e-07
2024-01-10,49.5,2.25,270.7359,0,101159.414,2.3841858e-07
2024-01-10,49.5,2.5,270.92926,0,101397.164,1.1920929e-07
2024-01-10,49.25,1.5,271.2032,0,101282.664,4.7683716e-07
2024-01-10,49.25,1.75,271.11774,0,101173.914,3.5762787e-07
2024-01-10,49.25,2.0,271.2237,0,101192.914,4.7683716e-07
2024-01-10,49.25,2.25,271.32574,0,101307.414,4.7683716e-07
2024-01-10,49.25,2.5,271.49078,0,101458.164,3.5762787e-07
2024-01-10,49.0,1.5,271.17828,0,101204.164,7.1525574e-07
2024-01-10,49.0,1.75,271.37848,0,101253.664,8.34465e-07
2024-01-10,49.0,2.0,271.52643,0,101344.664,8.34465e-07
2024-01-10,49.0,2.25,271.63483,0,101491.664,8.34465e-07
2024-01-10,49.0,2.5,271.67145,0,101593.914,4.7683716e-07
2024-01-10,48.75,1.5,270.60797,0,100769.164,3.5762787e-07
2024-01-10,48.75,1.75,271.03766,0,100860.164,2.3841858e-07
2024-01-10,48.75,2.0,271.2237,0,100949.914,2.3841858e-07
2024-01-10,48.75,2.25,271.44733,0,101241.414,4.7683716e-07
2024-01-10,48.75,2.5,271.62848,0,101382.664,5.9604645e-07
2024-01-10,48.5,1.5,269.81012,0,100451.914,5.9604645e-07
2024-01-10,48.5,1.75,270.39117,0,100642.914,4.7683716e-07
2024-01-10,48.5,2.0,271.1646,0,100867.914,3.5762787e-07
2024-01-10,48.5,2.25,271.40094,0,101140.664,8.34465e-07
2024-01-10,48.5,2.5,271.58502,0,101314.664,9.536743e-07
2024-01-10,48.25,1.5,270.56256,0,100637.414,1.1920929e-06
2024-01-10,48.25,1.75,270.91217,0,100803.164,8.34465e-07
2024-01-10,48.25,2.0,271.3907,0,100924.414,4.7683716e-07
2024-01-10,48.25,2.25,271.50983,0,101056.164,4.7683716e-07
2024-01-10,48.25,2.5,271.5523,0,101115.914,3.5762787e-07
